tds,turbidity,pH,mq4,temperature,humidity,rain,oxygen_level
91.07,0.53,5.36,44.15,27.86,61.34,27.13,Low
654.3,2.52,7.09,66.31,31.21,60.9,96.41,Low
628.12,5.54,8.19,24.22,38.87,84.73,97.34,Low
775.05,8.58,6.03,85.08,31.18,79.73,23.17,Low
379.95,1.16,5.69,3.93,19.79,30.06,29.38,Low
580.16,7.64,6.16,83.1,23.49,67.39,8.24,Low
658.79,8.14,7.93,20.22,34.99,36.43,88.01,Low
565.01,10.18,5.88,33.79,20.17,48.64,13.63,Low
597.13,13.36,5.85,58.76,30.83,65.6,59.36,Low
774.97,11.54,6.53,51.66,17.38,73.86,13.23,Low
300.74,7.4,5.21,2.73,17.73,58.72,25.38,Low
213.07,19.38,6.6,17.95,19.34,75.42,77.11,Low
134.84,14.73,8.52,30.6,25.95,56.2,93.99,Low
124.43,16.72,6.16,58.11,29.92,50.73,30.44,Low
340.45,12.88,6.75,46.36,11.48,77.63,33.37,Low
249.71,5.0,8.23,93.92,23.81,55.27,28.61,Low
424.5,5.0,8.16,34.83,26.68,65.2,0.87,High
501.87,6.22,7.61,27.03,12.67,47.37,47.75,Low
265.2,2.03,6.69,99.59,20.02,60.6,26.24,Low
360.44,8.68,8.84,64.17,25.13,40.71,78.72,Low
426.17,5.77,6.71,38.59,33.18,89.04,89.27,High
631.48,12.39,8.9,70.45,15.95,31.42,13.4,Low
532.83,16.58,6.4,11.78,39.9,34.46,56.88,Low
283.26,20.0,7.72,25.86,31.7,32.77,6.5,Low
570.82,9.73,5.93,51.1,13.74,44.16,88.45,Low
562.65,8.45,6.04,36.75,14.74,48.06,31.6,Low
124.49,10.57,8.1,66.7,28.59,65.08,27.8,Low
697.52,11.81,6.04,16.9,11.64,79.36,18.86,Low
592.37,11.36,7.44,8.55,29.28,55.83,87.57,Low
758.42,1.64,7.48,45.96,14.52,44.81,2.86,Low
353.13,16.84,6.55,77.99,36.47,58.65,10.32,Low
175.6,15.34,7.24,24.62,38.5,56.86,56.45,Low
493.9,3.14,5.24,40.76,33.52,67.02,58.31,Low
136.27,5.24,8.77,41.81,18.46,62.31,42.37,Low
59.98,9.02,5.24,71.1,38.45,60.74,48.76,Low
190.63,10.04,7.65,94.07,15.8,34.53,45.39,Low
179.8,11.03,5.68,63.68,11.11,39.77,63.83,Low
54.17,5.24,8.27,50.76,22.14,64.46,97.98,Low
137.11,15.5,8.57,12.58,22.66,85.1,97.23,Low
643.31,6.24,6.89,3.47,14.34,48.29,1.83,Low
94.52,14.28,7.05,56.15,39.97,66.88,36.7,Low
359.54,0.56,7.94,43.57,18.5,58.6,64.25,High
639.32,16.67,8.79,11.35,13.27,46.22,47.93,Low
209.86,16.93,6.68,30.46,22.81,63.14,98.13,Low
356.05,4.06,6.48,13.35,23.14,43.42,11.38,Low
689.08,11.87,6.58,10.71,30.54,84.01,45.79,Low
356.55,16.39,7.45,78.31,10.82,73.17,22.8,Low
520.79,8.42,5.97,50.99,36.37,42.26,62.27,Low
193.68,16.09,6.14,30.33,38.17,69.74,23.64,Low
205.09,4.13,5.44,40.93,37.98,31.39,69.32,Low
791.88,8.41,8.57,6.73,37.71,46.49,44.99,Low
339.71,17.17,5.24,64.94,23.18,70.43,61.97,Low
222.09,4.55,5.31,67.5,11.61,34.94,76.48,Low
779.12,19.16,7.93,90.62,23.66,51.92,86.42,Low
484.25,1.0,6.1,44.2,11.44,83.37,70.97,Low
57.29,5.89,7.52,87.45,29.29,43.91,28.9,Low
452.7,8.82,8.05,58.39,12.17,63.45,25.84,Low
180.61,6.44,6.59,81.44,29.84,69.39,9.58,Low
302.45,4.89,8.03,89.78,22.26,85.66,15.49,Low
629.51,12.49,8.51,53.62,39.77,45.34,31.32,Low
138.78,16.31,6.99,55.11,11.69,86.6,84.21,Low
143.29,16.75,6.36,39.23,11.63,84.95,67.21,Low
235.61,16.63,8.53,9.19,35.03,78.67,6.58,Low
349.33,17.09,7.69,11.01,31.73,48.68,45.44,Low
176.31,19.75,8.53,36.26,10.8,31.86,57.71,Low
390.74,7.11,6.5,80.85,32.9,40.63,65.71,Low
453.04,6.63,8.97,47.56,35.54,47.62,98.65,Low
772.34,7.03,5.48,57.04,14.01,47.4,48.9,Low
798.79,12.55,8.66,53.49,10.61,35.41,50.81,Low
68.43,1.75,7.28,51.68,28.21,56.65,14.57,Low
739.34,3.7,7.16,94.72,27.18,83.97,63.96,Low
679.54,2.53,8.41,50.76,14.2,57.94,60.64,Low
435.64,1.47,7.89,55.66,15.83,57.01,20.66,Low
422.77,6.77,7.13,53.75,27.75,88.99,93.98,Low
791.69,11.62,6.64,99.66,19.74,45.63,10.06,Low
646.32,8.02,7.41,34.96,16.63,57.18,4.42,Low
762.98,14.96,7.18,26.06,32.09,89.55,64.25,Low
478.39,14.75,7.22,80.23,32.53,32.09,70.28,Low
251.88,17.56,5.96,0.62,35.3,30.33,63.95,Low
274.68,17.6,5.19,61.55,19.97,79.95,90.42,Low
439.17,4.27,5.76,77.46,15.26,65.72,25.11,Low
341.61,7.82,5.26,32.85,21.65,40.18,34.79,Low
380.02,0.22,7.79,62.18,23.0,89.09,35.52,Low
501.34,15.86,8.18,14.0,19.43,77.48,57.33,Low
601.68,9.02,7.32,50.25,12.26,55.46,77.49,Low
671.54,9.26,7.15,28.69,34.53,67.98,17.99,Low
76.25,19.2,7.72,50.68,31.32,89.04,62.42,Low
406.42,17.28,5.31,24.67,21.03,33.59,32.34,Low
677.91,0.89,7.22,66.5,13.65,50.13,63.36,Low
617.22,4.92,6.33,16.08,28.78,37.12,43.03,Low
588.76,14.5,5.96,9.98,14.82,58.45,45.86,Low
731.01,17.17,7.06,52.14,29.99,42.53,31.32,Low
195.04,3.15,5.41,44.41,28.38,74.31,19.72,Low
222.9,18.61,5.52,43.58,30.53,48.0,42.12,Low
398.64,15.95,8.31,3.81,24.31,37.62,56.79,Low
616.52,15.92,5.49,69.17,20.71,47.01,39.29,Low
790.97,7.28,7.82,18.26,23.4,39.21,5.87,Low
252.01,10.69,6.92,35.98,39.95,82.38,17.13,Low
436.41,15.78,8.42,19.6,31.66,84.58,11.47,Low
716.79,1.93,6.79,95.22,30.66,47.77,73.48,Low
247.51,2.7,5.52,21.66,38.54,56.53,39.99,Low
663.65,12.67,7.05,83.2,38.49,62.8,33.88,Low
143.54,18.56,5.48,27.57,39.5,80.26,3.53,Low
605.29,3.66,7.14,54.45,39.64,80.88,97.67,Low
306.4,7.76,5.36,34.82,22.97,78.59,59.89,Low
488.33,15.26,6.78,58.66,15.1,66.37,36.22,Low
314.85,5.74,8.22,83.49,31.02,47.55,38.26,Low
148.74,16.82,7.8,93.7,30.82,49.57,54.66,Low
684.19,6.51,7.8,25.5,25.79,83.56,34.53,Low
778.62,12.1,5.22,44.44,25.45,59.83,69.34,Low
788.46,13.13,5.86,99.53,12.84,73.12,77.42,Low
59.58,9.37,7.16,58.5,29.07,53.41,70.23,Low
517.43,7.83,8.26,41.9,38.24,84.72,95.9,Low
746.71,6.16,7.8,94.21,37.68,70.26,17.82,Low
392.77,17.11,7.1,89.23,24.37,63.14,0.76,Low
464.3,8.93,8.31,76.93,20.62,46.53,68.32,Low
340.98,12.92,6.39,16.1,38.31,89.44,73.64,Low
151.34,16.59,5.67,66.06,17.29,32.31,40.79,Low
130.23,9.3,8.63,55.34,39.87,42.45,39.97,Low
263.54,11.96,6.91,19.36,26.13,36.36,21.8,Low
695.38,2.61,7.87,58.85,20.91,57.79,6.68,Low
298.51,18.21,6.65,20.08,28.7,73.99,40.84,Low
93.34,13.22,8.71,73.95,38.49,59.36,88.48,Low
778.62,0.77,8.81,13.96,35.29,33.81,77.66,Low
701.4,12.79,6.88,50.23,14.74,38.3,58.31,Low
737.83,5.74,8.73,53.5,11.43,72.62,81.29,Low
77.63,12.96,7.73,63.14,22.73,30.58,90.13,Low
293.07,2.04,8.37,75.31,13.45,62.79,0.44,Low
473.91,8.01,6.54,72.82,10.71,47.07,91.84,Low
358.06,8.86,5.66,97.71,24.35,82.23,26.43,Low
531.83,15.13,7.84,11.45,36.25,53.07,52.97,Low
162.11,13.16,6.55,57.9,32.83,53.66,78.53,Low
155.16,13.59,7.54,37.33,37.13,86.49,98.48,Low
507.43,14.79,8.13,92.17,22.88,60.56,26.66,Low
703.42,14.47,5.44,64.09,29.88,86.57,69.1,Low
80.99,4.23,8.37,57.6,33.29,78.72,62.01,Low
128.61,3.66,5.53,82.19,35.41,57.07,82.3,Low
232.52,17.98,7.63,20.92,30.41,70.64,78.57,Low
488.14,6.04,8.05,0.45,25.94,79.4,82.58,High
316.55,9.88,8.96,63.36,15.93,47.5,30.23,Low
684.2,4.49,6.09,77.71,37.14,37.54,62.89,Low
131.13,10.28,5.25,61.87,21.69,32.33,10.94,Low
65.58,5.68,6.9,72.55,17.03,61.05,5.0,Low
69.16,10.81,8.29,53.57,15.9,65.31,84.58,Low
572.45,1.43,6.81,39.05,19.74,62.94,6.49,Low
416.01,11.56,6.56,35.46,16.64,44.1,3.84,Low
291.1,10.23,7.27,10.33,26.16,81.52,68.34,Low
682.66,2.73,8.74,99.3,36.72,83.62,53.67,Low
663.38,15.07,6.08,54.02,20.89,68.94,5.5,Low
115.33,1.37,8.08,90.7,11.01,40.39,55.2,Low
640.56,11.99,5.32,89.12,38.64,85.49,90.75,Low
327.14,13.78,7.05,38.11,14.88,62.16,93.95,Low
409.76,0.71,8.9,83.13,10.17,30.01,27.87,Low
506.32,12.68,6.12,35.36,18.9,71.03,84.2,Low
424.71,16.3,7.18,60.99,17.02,74.92,69.49,Low
601.99,12.56,7.37,65.98,30.84,50.73,76.08,Low
323.84,12.15,5.26,46.84,32.06,49.41,77.46,Low
128.7,19.36,6.84,63.7,39.51,66.87,98.63,Low
75.89,2.85,8.37,48.46,17.84,87.36,95.89,High
173.58,12.35,8.59,43.86,10.81,50.48,5.77,Low
443.95,18.17,7.63,24.22,16.53,89.69,53.28,Low
774.68,11.88,7.62,20.29,30.89,81.62,66.2,Low
437.66,9.88,8.82,36.54,26.04,30.06,17.36,Low
724.17,11.79,5.96,39.04,11.64,60.26,26.15,Low
102.35,14.12,6.92,17.61,26.02,71.03,91.31,Low
286.49,4.65,5.43,5.0,24.94,70.68,48.44,Low
302.89,10.72,5.08,56.78,35.84,84.51,93.81,Low
345.18,9.48,8.75,17.95,29.59,56.23,0.11,Low
115.03,11.7,5.56,39.26,27.57,52.09,51.65,Low
748.36,5.4,6.73,75.47,37.23,83.62,93.22,Low
554.59,12.4,5.58,54.39,25.48,69.25,76.81,Low
477.78,7.65,5.84,29.59,12.54,65.05,31.91,Low
611.48,5.47,5.22,85.7,26.31,86.89,21.72,Low
74.04,4.19,6.31,5.22,30.73,83.44,75.66,Low
205.69,10.16,5.1,72.09,27.38,79.79,24.03,Low
609.12,18.86,5.68,87.2,18.04,67.16,4.6,Low
609.35,16.14,8.79,95.02,18.03,37.42,53.07,Low
404.6,19.38,5.55,50.12,14.51,77.49,74.4,Low
690.37,4.98,6.88,32.12,30.66,70.97,24.55,Low
348.56,16.6,5.13,33.72,27.86,53.21,31.82,Low
129.36,19.74,6.88,3.33,10.01,46.87,28.12,Low
86.82,3.07,5.14,30.24,19.42,73.45,44.65,Low
473.38,1.14,7.81,72.51,16.12,79.59,95.79,Low
605.24,6.32,6.93,9.42,38.99,54.31,86.87,Low
604.55,0.55,7.79,92.67,37.01,61.65,33.94,Low
114.0,15.32,6.27,6.8,36.19,62.5,92.6,Low
484.63,9.03,6.24,91.22,27.85,30.92,52.4,Low
303.24,1.98,8.56,57.23,23.7,34.66,96.67,Low
141.61,5.81,5.52,23.64,36.69,69.33,84.37,Low
143.86,6.75,8.35,42.0,23.46,74.46,66.01,High
149.85,8.82,7.89,28.36,16.63,77.64,97.03,High
252.09,9.71,7.78,30.82,20.58,36.81,12.75,High
224.8,1.87,5.86,43.48,16.5,78.37,90.04,Low
150.62,16.8,5.05,32.36,18.15,50.1,34.27,Low
529.1,1.1,7.83,38.31,23.7,83.98,69.61,Low
424.7,5.61,8.01,97.37,15.06,63.59,82.81,Low
456.26,4.02,5.9,51.1,19.81,39.85,1.63,Low
147.54,13.81,5.01,81.47,14.53,66.95,48.74,Low
333.59,11.36,8.29,17.04,30.52,43.36,34.52,Low
761.49,13.77,6.82,30.76,21.35,53.65,94.93,Low
460.86,2.98,5.76,62.46,13.21,74.24,77.33,Low
567.34,19.93,7.54,38.47,28.01,54.38,46.1,Low
615.67,0.32,7.89,30.73,31.65,39.09,81.64,Low
420.1,15.59,6.6,17.89,34.13,44.91,62.71,Low
148.48,4.3,5.87,7.36,28.63,31.07,34.19,Low
474.87,0.31,5.34,27.08,13.63,61.6,70.07,Low
472.35,4.15,7.88,86.53,36.04,31.89,58.11,Low
92.06,9.91,6.69,18.26,26.19,77.53,34.45,High
311.0,13.26,6.43,64.67,15.25,35.66,3.91,Low
288.19,17.46,8.65,43.46,32.21,41.9,27.9,Low
538.41,16.88,6.08,14.28,26.8,76.87,70.63,Low
340.18,11.23,7.39,53.66,37.24,69.89,2.51,Low
503.56,9.11,6.94,71.18,29.72,85.32,21.27,Low
451.45,9.88,7.65,50.4,24.23,72.15,16.46,Low
372.79,10.92,5.79,52.02,38.03,57.93,38.46,Low
367.16,5.88,5.81,8.36,20.43,40.13,40.33,Low
427.95,5.84,6.69,34.45,20.49,38.75,60.68,High
289.91,1.98,5.82,13.35,39.68,35.36,80.86,Low
630.3,18.39,5.09,68.14,39.13,57.19,47.07,Low
625.84,7.98,5.97,32.36,20.67,55.53,76.81,Low
129.51,18.08,5.69,87.31,16.45,84.92,80.43,Low
417.63,12.65,7.42,62.71,21.09,33.57,89.96,Low
291.39,14.27,5.31,37.21,33.93,36.03,81.54,Low
155.96,15.75,7.63,44.93,10.47,36.5,99.25,Low
342.89,11.55,7.68,49.57,33.65,49.77,97.27,Low
621.13,16.06,7.84,65.37,38.26,63.09,98.26,Low
450.94,17.57,7.57,8.92,18.36,85.45,95.93,Low
597.62,18.12,8.12,36.57,29.65,87.46,5.39,Low
417.69,6.72,5.7,2.6,31.3,66.76,36.95,Low
470.48,7.48,6.83,58.52,15.78,80.54,77.46,Low
456.98,19.86,8.71,1.91,33.98,51.46,13.49,Low
257.79,4.09,8.96,21.4,12.4,56.88,5.09,Low
708.26,3.86,7.4,2.26,34.47,73.08,82.79,Low
584.06,3.06,7.98,35.48,27.39,34.36,11.73,Low
55.89,15.16,5.43,88.22,31.18,83.31,95.94,Low
735.23,2.91,5.92,69.41,39.59,66.38,60.49,Low
359.23,14.43,5.83,1.38,25.23,38.85,58.38,Low
270.48,2.94,5.19,76.92,24.29,80.37,39.92,Low
238.91,3.38,7.97,36.69,15.78,51.37,75.71,High
793.71,9.34,7.85,60.7,10.2,67.07,11.53,Low
481.75,14.65,5.91,20.79,32.38,40.48,79.4,Low
468.02,5.59,8.11,46.15,14.61,41.64,87.02,High
631.07,17.96,7.58,2.91,13.65,33.78,89.15,Low
237.72,1.47,5.73,87.48,25.97,73.58,70.81,Low
57.38,19.49,7.5,49.72,31.19,79.23,71.61,Low
792.91,17.21,8.41,69.5,27.48,61.2,24.69,Low
347.86,3.6,5.33,88.97,18.29,59.31,81.11,Low
788.0,15.07,6.83,57.83,39.15,34.48,7.25,Low
563.69,5.91,7.17,93.21,39.78,80.9,37.38,Low
701.72,18.6,8.27,87.68,27.32,48.21,13.14,Low
536.64,1.02,7.49,44.15,13.91,86.12,77.88,Low
675.95,9.78,6.63,56.7,15.65,69.94,77.21,Low
346.01,11.24,8.85,27.35,23.13,55.72,63.41,Low
752.36,14.36,7.72,57.41,22.9,64.8,9.74,Low
120.29,9.21,5.31,52.01,31.6,40.56,56.63,Low
580.35,2.03,8.78,37.51,24.41,77.16,57.45,Low
710.01,7.0,8.93,1.08,17.57,40.47,46.86,Low
727.73,17.31,6.87,43.14,33.2,46.94,96.18,Low
627.09,18.63,8.9,89.91,33.98,42.47,16.64,Low
422.41,4.88,6.27,91.02,16.25,80.07,4.69,Low
161.49,5.06,8.15,16.31,38.74,72.62,97.94,High
644.47,11.46,6.56,96.82,27.25,43.46,99.38,Low
343.15,0.42,5.65,53.29,14.65,66.27,71.06,Low
263.41,3.58,5.9,33.23,14.59,38.64,70.84,Low
703.4,7.29,6.27,19.74,28.92,58.56,60.4,Low
269.92,12.75,5.94,21.18,25.29,88.14,19.78,Low
453.1,14.71,6.37,57.78,31.88,45.58,70.53,Low
197.52,7.28,6.44,99.28,22.67,42.73,8.73,Low
92.67,3.91,5.78,89.68,39.12,74.24,90.44,Low
510.9,6.32,8.56,76.01,35.79,55.59,65.34,Low
90.91,3.29,6.17,53.24,26.41,60.71,14.36,Low
321.71,8.63,5.5,52.44,31.64,36.64,55.17,Low
109.24,10.16,8.19,74.33,10.48,71.43,13.87,Low
265.01,19.49,5.5,73.91,29.82,57.95,94.8,Low
715.46,13.92,8.29,38.61,34.18,53.2,54.96,Low
217.78,2.53,7.93,43.92,37.08,38.32,99.99,High
542.67,17.2,7.01,55.55,11.59,81.76,94.39,Low
372.41,17.46,5.56,19.82,34.05,53.68,57.48,Low
573.05,10.49,7.96,43.52,11.57,52.13,90.97,Low
520.15,16.54,8.59,93.71,31.96,58.57,28.69,Low
745.68,8.71,8.37,54.83,23.96,50.79,53.75,Low
262.61,15.47,7.45,27.67,37.02,89.6,81.81,Low
615.27,16.46,6.3,63.76,33.17,36.65,99.25,Low
333.62,4.17,6.94,6.82,18.44,81.69,94.04,High
620.64,11.33,7.01,84.83,21.62,68.55,24.02,Low
161.96,10.13,5.57,87.85,33.57,41.23,52.81,Low
153.35,2.91,8.98,74.96,39.94,55.66,13.47,Low
721.1,17.61,8.52,13.27,13.92,63.35,87.81,Low
223.68,2.08,7.73,40.59,21.63,51.14,69.91,High
596.83,15.63,5.62,64.72,32.28,66.22,96.79,Low
335.82,15.91,6.86,55.55,24.81,78.82,10.12,Low
142.04,17.05,6.58,18.75,26.84,68.13,79.01,Low
562.8,8.74,6.28,38.71,39.1,46.99,85.1,Low
143.64,2.08,7.29,94.37,11.26,55.92,40.82,Low
640.54,13.42,8.66,34.58,24.9,80.58,83.71,Low
334.26,8.58,6.26,87.04,18.51,48.85,60.6,Low
477.2,16.2,8.4,17.14,23.61,57.31,14.57,Low
136.75,2.22,7.32,28.72,38.32,57.87,57.85,High
636.06,0.71,5.02,38.22,37.79,66.04,74.45,Low
582.33,16.51,5.74,51.44,14.47,41.84,13.49,Low
168.84,19.92,6.31,56.89,36.4,50.38,4.21,Low
456.74,15.59,5.34,7.76,22.55,51.9,35.43,Low
692.82,10.37,7.72,23.33,33.31,77.42,6.61,Low
75.54,14.67,7.98,39.71,28.84,50.05,60.92,Low
677.71,16.44,5.59,87.54,16.43,78.21,60.78,Low
502.78,11.66,8.91,49.39,10.59,85.08,95.95,Low
728.37,16.98,8.53,46.22,30.31,31.28,24.28,Low
529.65,12.82,8.43,97.39,33.49,33.38,98.46,Low
84.51,15.05,8.2,85.91,25.05,55.37,74.45,Low
488.38,13.54,7.92,43.12,36.82,58.57,19.42,Low
466.52,7.13,7.17,57.9,28.77,36.88,16.4,Low
774.27,18.26,8.12,41.57,28.87,36.35,15.5,Low
447.94,5.93,6.66,33.88,33.56,67.57,79.08,High
492.62,1.29,7.97,94.47,21.18,64.82,49.22,Low
467.13,16.43,5.07,3.2,39.0,74.87,34.71,Low
734.8,0.72,7.37,75.4,20.17,73.87,73.12,Low
161.01,12.86,6.03,11.02,38.38,36.96,4.65,Low
542.69,12.69,6.54,94.23,33.58,58.76,92.22,Low
263.53,12.15,6.0,42.47,18.33,75.37,44.43,Low
407.63,18.58,5.59,0.53,35.35,48.17,88.74,Low
283.43,8.82,6.09,96.36,24.5,83.28,52.15,Low
602.3,5.06,7.6,75.04,30.37,33.85,50.56,Low
770.12,12.46,7.15,20.51,24.19,66.52,1.28,Low
88.37,9.58,6.01,71.05,26.86,61.38,9.64,Low
256.26,1.5,7.77,22.9,36.12,42.58,50.14,High
582.52,17.59,5.58,9.1,22.35,87.49,62.92,Low
791.1,15.05,5.27,80.12,13.54,51.15,47.34,Low
561.38,12.35,8.04,94.98,23.41,66.16,1.34,Low
462.69,2.09,6.13,1.55,31.59,71.32,91.5,Low
585.83,15.68,6.24,68.89,23.82,30.08,17.93,Low
713.92,5.7,7.7,59.66,13.69,83.91,99.18,Low
353.46,11.87,5.82,87.73,15.63,73.24,53.72,Low
168.85,4.3,7.36,70.37,14.73,60.06,72.53,Low
690.58,4.5,8.55,11.94,12.36,54.73,13.92,Low
293.81,5.63,6.01,18.64,14.14,30.32,28.42,Low
370.95,15.44,8.72,86.79,21.97,66.21,44.5,Low
468.3,7.24,5.09,29.77,18.03,60.25,99.13,Low
482.67,3.76,7.3,89.67,30.41,74.29,21.67,Low
511.69,8.07,7.51,98.6,10.96,63.09,6.13,Low
387.78,9.34,7.54,24.95,13.85,37.79,67.09,High
189.51,16.23,7.52,24.82,38.77,89.29,96.98,Low
285.8,0.16,6.42,80.37,38.41,42.34,58.56,Low
236.36,19.13,5.02,93.92,36.18,70.43,89.87,Low
507.65,4.59,5.28,82.95,17.1,51.3,29.47,Low
630.39,11.45,6.87,85.88,13.92,84.18,81.21,Low
164.59,18.5,7.37,74.62,23.79,53.12,41.55,Low
557.81,10.8,5.97,11.8,34.81,79.98,40.27,Low
461.41,19.87,7.97,54.83,37.16,86.64,51.46,Low
123.31,18.23,5.44,71.56,39.51,42.79,51.18,Low
326.59,2.8,8.69,6.7,11.18,40.16,89.02,Low
472.26,17.45,7.16,78.25,19.2,36.4,58.98,Low
330.72,6.33,6.92,23.47,19.99,74.64,24.26,High
702.99,17.55,6.08,65.31,23.34,67.22,15.12,Low
720.02,3.7,8.97,71.16,16.85,64.49,38.55,Low
463.3,14.97,8.24,93.13,31.98,82.66,48.55,Low
52.71,18.66,5.38,28.7,34.16,33.91,24.86,Low
132.12,15.53,5.38,86.88,24.99,84.99,73.08,Low
358.43,9.49,5.22,66.36,20.71,63.1,30.59,Low
540.36,3.63,5.3,78.59,32.95,36.65,58.78,Low
128.93,5.42,6.58,36.19,34.72,30.37,56.83,High
366.32,3.22,6.34,60.48,34.0,75.39,7.79,Low
110.09,11.72,6.09,92.82,36.68,81.2,77.84,Low
652.71,15.16,7.42,39.12,28.92,51.73,70.98,Low
71.39,14.42,7.0,89.37,15.17,75.7,15.79,Low
135.58,8.43,6.85,9.52,14.9,39.03,48.85,High
647.81,8.08,6.4,48.69,15.3,73.65,21.11,Low
310.52,18.36,5.23,7.58,30.33,61.46,95.96,Low
456.79,14.03,7.79,82.63,27.71,45.6,4.81,Low
81.24,2.38,5.85,72.3,33.08,77.08,50.2,Low
495.98,2.24,7.98,58.36,12.38,41.43,40.45,Low
463.09,18.86,5.67,23.62,13.56,39.22,68.48,Low
611.74,9.32,8.52,31.52,39.36,79.41,97.23,Low
246.63,1.78,5.31,33.37,39.8,40.22,17.33,Low
477.49,12.33,6.99,49.78,29.22,30.83,40.88,Low
456.18,9.57,6.0,36.45,35.12,70.41,84.89,Low
210.67,18.45,6.66,89.84,18.81,50.32,47.1,Low
106.46,3.54,8.19,47.19,38.59,30.27,82.8,High
798.55,6.35,6.1,1.57,29.71,49.64,30.9,Low
545.23,4.1,8.53,96.32,11.75,47.08,27.73,Low
575.23,12.71,7.39,84.08,23.38,56.76,47.71,Low
754.09,3.36,7.84,64.46,24.36,67.48,4.36,Low
72.71,14.57,5.17,61.17,39.32,86.44,75.3,Low
513.2,2.58,7.22,73.56,35.11,47.07,62.74,Low
568.9,17.66,5.7,78.89,38.13,62.11,48.87,Low
186.37,7.85,8.82,50.56,15.0,66.99,77.37,Low
117.34,18.14,6.38,37.96,32.87,78.03,64.92,Low
516.83,13.09,6.19,3.79,36.4,64.94,38.02,Low
285.98,4.11,7.71,31.34,28.77,78.45,61.88,High
94.37,18.17,7.94,71.33,39.48,39.86,34.13,Low
701.85,3.79,8.38,65.74,36.91,40.56,55.57,Low
574.67,8.78,6.93,70.22,36.11,61.41,52.07,Low
88.97,17.5,5.54,26.12,14.98,51.58,10.5,Low
